Year,England,Wales,Scotland,Northern Ireland
2021,3.35,2.77,2.96,2.87
2020,3.5,2.85,3.06,3.03
2019,3.54,2.96,3.1,2.92
2018,3.62,3,3.21,3.01
2017,3.65,3.07,3.23,3.08
2016,3.69,3.17,3.28,3.21
2015,3.79,NA,3.38,3.45
2014,3.89,NA,3.47,3.53
2013,3.94,NA,3.54,3.58
2012,3.93,NA,3.54,3.54
2011,4.03,NA,3.6,3.7
2010,4.04,NA,3.65,3.61
2009,4.02,NA,3.63,3.61
2008,4.03,NA,3.54,3.67
2007,4.01,NA,3.57,3.56
2006,4.03,NA,3.7,3.79
2005,4.05,NA,3.74,3.75
2004,4.04,NA,3.6,3.49
2003,4.06,3.52,3.53,3.54
2002,4.11,3.55,3.64,3.61
2001,4.11,3.54,3.77,3.59
2000,4.03,3.09,3.18,3.17
1999,4.03,3.6,3.78,3.66
1998,4.08,3.63,3.76,3.73
1997,4.04,3.69,3.86,3.91
