Area code,Area name,Year,Ratio of earnings,Sample size
E92000001,England,2021,3.35,22576
W92000004,Wales,2021,2.77,1200
S92000003,Scotland,2021,2.96,2236
N92000002,Northern Ireland,2021,2.87,1074
E92000001,England,2020,3.5,21616
W92000004,Wales,2020,2.85,1137
S92000003,Scotland,2020,3.06,2155
N92000002,Northern Ireland,2020,3.03,1002
E92000001,England,2019,3.54,22420
W92000004,Wales,2019,2.96,1140
S92000003,Scotland,2019,3.1,2269
N92000002,Northern Ireland,2019,2.92,873
E92000001,England,2018,3.62,22191
W92000004,Wales,2018,3,1121
S92000003,Scotland,2018,3.21,2320
N92000002,Northern Ireland,2018,3.01,792
E92000001,England,2017,3.65,22037
W92000004,Wales,2017,3.07,1119
S92000003,Scotland,2017,3.23,2260
N92000002,Northern Ireland,2017,3.08,824
E92000001,England,2016,3.69,21613
W92000004,Wales,2016,3.17,1094
S92000003,Scotland,2016,3.28,2218
N92000002,Northern Ireland,2016,3.21,833
E92000001,England,2015,3.79,21822
S92000003,Scotland,2015,3.38,2244
N92000002,Northern Ireland,2015,3.45,792
E92000001,England,2014,3.89,21006
S92000003,Scotland,2014,3.47,2199
N92000002,Northern Ireland,2014,3.53,722
E92000001,England,2013,3.94,20624
S92000003,Scotland,2013,3.54,2166
N92000002,Northern Ireland,2013,3.58,709
E92000001,England,2012,3.93,20255
S92000003,Scotland,2012,3.54,2132
N92000002,Northern Ireland,2012,3.54,753
E92000001,England,2011,4.03,20413
S92000003,Scotland,2011,3.6,2162
N92000002,Northern Ireland,2011,3.7,715
E92000001,England,2010,4.04,20280
S92000003,Scotland,2010,3.65,2204
N92000002,Northern Ireland,2010,3.61,720
E92000001,England,2009,4.02,20330
S92000003,Scotland,2009,3.63,2184
N92000002,Northern Ireland,2009,3.61,691
E92000001,England,2008,4.03,20641
S92000003,Scotland,2008,3.54,2197
N92000002,Northern Ireland,2008,3.67,712
E92000001,England,2007,4.01,20543
S92000003,Scotland,2007,3.57,2152
N92000002,Northern Ireland,2007,3.56,703
E92000001,England,2006,4.03,19922
S92000003,Scotland,2006,3.7,2090
N92000002,Northern Ireland,2006,3.79,696
E92000001,England,2005,4.05,19883
S92000003,Scotland,2005,3.74,2136
N92000002,Northern Ireland,2005,3.75,621
E92000001,England,2004,4.04,18367
S92000003,Scotland,2004,3.6,1978
N92000002,Northern Ireland,2004,3.49,594
E92000001,England,2003,4.06,18654
W92000004,Wales,2003,3.52,995
S92000003,Scotland,2003,3.53,1960
N92000002,Northern Ireland,2003,3.54,600
E92000001,England,2002,4.11,18454
W92000004,Wales,2002,3.55,966
S92000003,Scotland,2002,3.64,1941
N92000002,Northern Ireland,2002,3.61,614
E92000001,England,2001,4.11,18372
W92000004,Wales,2001,3.54,925
S92000003,Scotland,2001,3.77,1938
N92000002,Northern Ireland,2001,3.59,623
E92000001,England,2000,4.03,18285
W92000004,Wales,2000,3.09,933
S92000003,Scotland,2000,3.18,1916
N92000002,Northern Ireland,2000,3.17,587
E92000001,England,1999,4.03,18194
W92000004,Wales,1999,3.6,898
S92000003,Scotland,1999,3.78,1848
N92000002,Northern Ireland,1999,3.66,560
E92000001,England,1998,4.08,17839
W92000004,Wales,1998,3.63,864
S92000003,Scotland,1998,3.76,1913
N92000002,Northern Ireland,1998,3.73,552
E92000001,England,1997,4.04,17564
W92000004,Wales,1997,3.69,835
S92000003,Scotland,1997,3.86,1891
N92000002,Northern Ireland,1997,3.91,568
