Area type,Area code,Area name,Year,Percentage of children living in poverty,Sample size
ITL1,E12000001,North East,1994,30.66,592744
ITL1,E12000002,North West,1994,29.85,1596498
ITL1,E12000003,Yorkshire and The Humber,1994,31.5,1136292
ITL1,E12000004,East Midlands,1994,26.76,919740
ITL1,E12000005,West Midlands,1994,25.55,1221504
ITL1,E12000006,East of England,1994,22.06,1162236
ITL1,E12000007,London,1994,24.95,1532513
ITL1,E12000008,South East,1994,14.79,1709028
ITL1,E12000009,South West,1994,21.94,1012519
ITL1,W92000004,Wales,1994,27.61,658491
ITL1,S92000003,Scotland,1994,28.24,1104024
ITL1,N92000002,Northern Ireland,1994,NA,NA
ITL1,E12000001,North East,1995,32.04,590755
ITL1,E12000002,North West,1995,27.77,1593726
ITL1,E12000003,Yorkshire and The Humber,1995,29.76,1141023
ITL1,E12000004,East Midlands,1995,25.42,925497
ITL1,E12000005,West Midlands,1995,26.57,1226752
ITL1,E12000006,East of England,1995,18.62,1168519
ITL1,E12000007,London,1995,24.28,1563711
ITL1,E12000008,South East,1995,15.63,1726528
ITL1,E12000009,South West,1995,19.89,1018997
ITL1,W92000004,Wales,1995,28.88,659005
ITL1,S92000003,Scotland,1995,27.71,1107279
ITL1,N92000002,Northern Ireland,1995,NA,NA
ITL1,E12000001,North East,1996,31.95,585239
ITL1,E12000002,North West,1996,28.65,1582522
ITL1,E12000003,Yorkshire and The Humber,1996,30.42,1139763
ITL1,E12000004,East Midlands,1996,25.18,924750
ITL1,E12000005,West Midlands,1996,27.3,1224730
ITL1,E12000006,East of England,1996,19.51,1168509
ITL1,E12000007,London,1996,25.31,1585231
ITL1,E12000008,South East,1996,16.57,1729746
ITL1,E12000009,South West,1996,20.91,1018038
ITL1,W92000004,Wales,1996,28.59,656760
ITL1,S92000003,Scotland,1996,28.74,1096753
ITL1,N92000002,Northern Ireland,1996,NA,NA
ITL1,E12000001,North East,1997,32.72,579527
ITL1,E12000002,North West,1997,29.13,1572765
ITL1,E12000003,Yorkshire and The Humber,1997,30.21,1135741
ITL1,E12000004,East Midlands,1997,24.54,922256
ITL1,E12000005,West Midlands,1997,28.79,1220493
ITL1,E12000006,East of England,1997,18.75,1169735
ITL1,E12000007,London,1997,26.38,1597748
ITL1,E12000008,South East,1997,17,1736528
ITL1,E12000009,South West,1997,21.35,1022262
ITL1,W92000004,Wales,1997,30.43,654748
ITL1,S92000003,Scotland,1997,29.45,1086998
ITL1,N92000002,Northern Ireland,1997,NA,NA
ITL1,E12000001,North East,1998,33.97,574522
ITL1,E12000002,North West,1998,32.21,1566486
ITL1,E12000003,Yorkshire and The Humber,1998,31.31,1131760
