Year,Percentage of children living in poverty,Sample size
2019,29.8,13952495
2018,29.59,13976582
2017,29.59,13801446
2016,29.33,13660331
2015,28.47,13575196
2014,27.74,13499856
2013,27.22,13371108
2012,27.12,13385191
2011,27.84,13290214
2010,28.97,13241629
2009,30.34,13187394
2008,30.78,12989757
2007,30.44,13006979
2006,29.37,12958743
2005,28.59,12901431
2004,28.54,12912956
2003,29.38,12887302
2002,30.18,12893296
2001,31.27,12620436
2000,32.3,12685366
1999,33.01,12716198
1998,33.44,12692811
1997,33.12,12698801
1996,32.97,12712041
1995,32.57,12721792
1994,32.45,12645589
